2.2676e-05,0.21336,1
3.2041,4.0664,2
5.7093,6.8781,3
9.5619,9.6405,4
12.947,13.074,5
15.595,15.78,6
18.845,18.993,7
23.605,24.267,8
28.873,28.908,9
34.22,34.836,10
37.306,38.745,11
39.587,40.367,12
41.334,41.838,13
43.55,44.366,14
48.088,49.773,15
51.173,51.376,16
56.021,57.713,17
60.003,60.909,18
69.004,69.28,19
72.756,73.754,20
76.6,77.279,21
81.3,81.36,22
82.658,83.145,23
85.661,87.073,24
92.353,92.464,25
94.447,94.485,26
96.601,96.635,27
101.15,101.19,28
102.82,103.76,29
105.18,105.32,30
107.76,107.85,31
109.3,110.15,32
112.78,112.8,33
115.84,117.14,34
118.75,119.06,35
121.96,122.14,36
125.01,125.86,37
127.49,127.79,38
128.65,128.81,39
132.91,132.96,40
136.1,136.26,41
137.27,138.83,42
140.68,141.29,43
145.73,146.34,44
156.11,183.49,45
185.71,185.72,46
188.13,188.18,47
190.54,191.32,48
192.69,193.41,49
196.21,196.3,50
200.26,200.93,51
202.74,204.24,52
205.42,205.83,53
208.19,209.86,54
213.27,214.24,55
215.64,215.68,56
217.89,217.91,57
220.19,221.2,58
223.14,223.57,59
227.34,227.83,60
231.17,232.35,61
233.6,236.11,62
239.15,239.85,63
243.97,244.31,64
251.49,251.51,65
256.73,257.49,66
258.66,259.07,67
260.92,261.11,68
263.5,264.15,69
265.98,266.26,70
267.99,268.01,71
270.08,270.09,72
279.77,280.41,73
283.58,284.38,74
285.25,290.73,75
292.12,292.18,76
295.59,308.46,77
311.15,311.85,78
314.67,315.19,79
317.84,318.03,80
321.35,322.83,81
326.78,327.41,82
328.75,329.62,83
330.77,332.78,84
333.81,334.02,85
339.99,340.34,86
341.54,341.95,87
345.49,346.83,88
347.69,348.16,89
353.95,354.85,90
357.78,358.18,91
359.3,359.59,92
362.72,362.89,93
368.44,368.51,94
370.11,370.34,95
372.93,373.6,96
375.17,376.57,97
377.45,378.89,98
381.08,381.69,99
386,386.04,100
388.87,388.88,101
391.85,392.48,102
395.48,396.09,103
399.35,399.62,104
401.19,401.58,105
402.66,402.87,106
404.22,404.66,107
405.95,406.76,108
407.94,408.19,109
409.66,410.34,110
411.26,415.25,111
417.64,417.82,112
418.72,419.52,113
420.34,423.11,114
427.56,428.24,115
430.11,430.75,116
432.02,432.03,117
435.78,437.28,118
442.02,442.06,119
450.15,450.16,120
455.59,455.73,121
457.38,457.39,122
460.02,461.01,123
463.82,463.83,124
466.06,477.74,125
487.71,487.73,126
493.82,518.64,127
523.14,524.13,128
526.87,526.94,129
527.92,528.07,130
529.75,531.63,131
534.09,534.2,132
539.41,540.27,133
543.24,543.4,134
548.67,548.68,135
552.1,554.33,136
555.94,557.34,137
565.18,565.84,138
572.04,572.08,139
576.96,577.08,140
582.99,584.06,141
589.58,589.6,142
593.38,606.49,143
608.62,610.66,144
612.86,613.57,145
615.33,616.03,146
617.07,618.86,147
621.27,621.8,148
623.73,624.37,149
625.64,626.26,150
627.41,628.96,151
631.25,632.3,152
635.43,636.67,153
638.44,638.92,154
640.59,641.45,155
642.45,643.68,156
644.81,645.95,157
648.67,650.11,158
650.96,654.09,159
655.2,656.66,160
657.56,658.86,161
660.84,665.95,162
667.71,667.84,163
668.8,669.82,164
671.74,672.22,165
674.93,675.76,166
677.8,679.04,167
680.93,680.97,168
681.92,681.99,169
683.8,684.99,170
686.6,686.64,171
687.46,688.51,172
689.93,690.24,173
691.18,691.41,174
693.24,693.54,175
696.23,697.09,176
697.97,698.02,177
701.92,703.39,178
707.59,707.78,179
712.45,713.33,180
717.38,741.47,181
742.66,744.18,182
747.51,748.22,183
750.44,750.54,184
751.73,753.13,185
754.79,756.85,186
758.2,758.49,187
760.14,762.04,188
763.69,764.63,189
765.92,767.46,190
769.47,770.06,191
771.77,772.4,192
773.7,775.14,193
776.85,777.69,194
779.86,780.59,195
781.6,784,196
785.5,785.61,197
787.59,788.56,198
797.59,798,199
