726.8,728.89,189,2.0881
728.89,734.73,190,5.8398
734.73,736.28,191,1.5531
736.28,738.68,192,2.3996
738.68,741.39,193,2.7094
741.39,746.73,194,5.3427
746.73,751.14,195,4.4023
751.14,756.85,196,5.7107
756.85,759.54,197,2.6894
759.54,764.1,198,4.5625
764.1,769.62,199,5.5201
769.62,771.04,200,1.421
771.04,772.7,201,1.6629
772.7,776.3,202,3.5992
776.3,781.77,203,5.4705
781.77,786.55,204,4.7794
786.55,792.99,205,6.4365
792.99,796.08,206,3.0903
796.08,797.32,207,1.241
797.32,800.32,208,3.0011
800.32,807.31,209,6.9888
807.31,809.98,210,2.6671
